varname,varkey,firsttime,lasttime

# Assets: real assets: main residence
pr_val,p2_5,2002,2099
pr_buyyear,p2_3,2002,2099
pr_pct,p2_1c,2008,2099
pr_size,p2_22,2002,2099
pr_tenure,p2_1,2002,2099
pr_ownall,p2_1b,2008,2099

# Assets: real assets: other real estate
re_number,p2_33,2002,2099
re_val_1,p2_39_1,2002,2099
re_val_2,p2_39_2,2002,2099
re_val_3,p2_39_3,2002,2099
re_val_4,p2_39_4,2002,2099
re_pct_1,p2_37_1,2002,2099
re_pct_2,p2_37_2,2002,2099
re_pct_3,p2_37_3,2002,2099

# Assets: real assets: businesses
asset_firms_number,p4_102,2008,2099
asset_firm_val_1,p4_111_1,2008,2099
asset_firm_val_2,p4_111_2,2008,2099
asset_firm_val_3,p4_111_3,2008,2099
asset_firm_val_4,p4_111_4,2008,2099
asset_firm_val_5,p4_111_5,2008,2099
asset_firm_val_6,p4_111_6,2008,2099
asset_firm_val_7,p4_117,2022,2099
asset_firm_pct_1,p4_110_1,2008,2099
asset_firm_pct_2,p4_110_2,2008,2099
asset_firm_pct_3,p4_110_3,2008,2099
asset_firm_pct_4,p4_110_4,2008,2099
asset_firm_pct_5,p4_110_5,2008,2099
asset_firm_pct_6,p4_110_6,2008,2099
asset_firm_nature_1_1,p6_36_1_1,2002,2005
asset_firm_nature_1_2,p6_36_1_2,2002,2005
asset_firm_nature_1_3,p6_36_1_3,2002,2005
asset_firm_nature_2_1,p6_36_2_1,2002,2005
asset_firm_nature_2_2,p6_36_2_2,2002,2005
asset_firm_nature_2_3,p6_36_2_3,2002,2005
asset_firm_nature_3_1,p6_36_3_1,2002,2005
asset_firm_nature_3_2,p6_36_3_2,2002,2005
asset_firm_nature_3_3,p6_36_3_3,2002,2005
asset_firm_nature_4_1,p6_36_4_1,2002,2005
asset_firm_nature_4_2,p6_36_4_2,2002,2005
asset_firm_nature_4_3,p6_36_4_3,2002,2005
asset_firm_nature_5_1,p6_36_5_1,2002,2005
asset_firm_nature_5_2,p6_36_5_2,2002,2005
asset_firm_nature_5_3,p6_36_5_3,2002,2005
asset_firm_nature_6_1,p6_36_6_1,2002,2005
asset_firm_nature_6_2,p6_36_6_2,2002,2005
asset_firm_nature_6_3,p6_36_6_3,2002,2005
asset_firm_nature_7_1,p6_36_7_1,2002,2005
asset_firm_nature_7_2,p6_36_7_2,2002,2005
asset_firm_nature_7_3,p6_36_7_3,2002,2005
asset_firm_nature_8_1,p6_36_8_1,2002,2005
asset_firm_nature_8_2,p6_36_8_2,2002,2005
asset_firm_nature_8_3,p6_36_8_3,2002,2005
asset_firm_nature_9_1,p6_36_9_1,2002,2005
asset_firm_nature_9_2,p6_36_9_2,2002,2005
asset_firm_nature_9_3,p6_36_9_3,2002,2005
asset_firm_property_1_1,p6_39_1_1,2002,2005
asset_firm_property_1_2,p6_39_1_2,2002,2005
asset_firm_property_1_3,p6_39_1_3,2002,2005
asset_firm_property_2_1,p6_39_2_1,2002,2005
asset_firm_property_2_2,p6_39_2_2,2002,2005
asset_firm_property_2_3,p6_39_2_3,2002,2005
asset_firm_property_3_1,p6_39_3_1,2002,2005
asset_firm_property_3_2,p6_39_3_2,2002,2005
asset_firm_property_3_3,p6_39_3_3,2002,2005
asset_firm_property_4_1,p6_39_4_1,2002,2005
asset_firm_property_4_2,p6_39_4_2,2002,2005
asset_firm_property_4_3,p6_39_4_3,2002,2005
asset_firm_property_5_1,p6_39_5_1,2002,2005
asset_firm_property_5_2,p6_39_5_2,2002,2005
asset_firm_property_5_3,p6_39_5_3,2002,2005
asset_firm_property_6_1,p6_39_6_1,2002,2005
asset_firm_property_6_2,p6_39_6_2,2002,2005
asset_firm_property_6_3,p6_39_6_3,2002,2005
asset_firm_property_7_1,p6_39_7_1,2002,2005
asset_firm_property_7_2,p6_39_7_2,2002,2005
asset_firm_property_7_3,p6_39_7_3,2002,2005
asset_firm_property_8_1,p6_39_8_1,2002,2005
asset_firm_property_8_2,p6_39_8_2,2002,2005
asset_firm_property_8_3,p6_39_8_3,2002,2005
